"","Suburb","Population.density.2015","year","population","POSTCODE"
"202","BOX HILL NORTH",2914.1,2013,17488,3129
"203","BOX HILL NORTH",2914.1,2014,17942,3129
"204","BOX HILL NORTH",2914.1,2007,16447,3129
"205","BOX HILL NORTH",2914.1,2011,17036,3129
"206","BOX HILL NORTH",2914.1,2006,16224,3129
"207","BOX HILL NORTH",2914.1,2012,17216,3129
"208","BOX HILL NORTH",2914.1,2008,16699,3129
"209","BOX HILL NORTH",2914.1,2015,18092,3129
"210","BRAYBROOK",2456.2,2008,14881,3019
"211","BRAYBROOK",2456.2,2015,18380,3019
"212","BRAYBROOK",2456.2,2009,15633,3019
"213","BRAYBROOK",2456.2,2007,14178,3019
"214","BRAYBROOK",2456.2,2006,13482,3019
"215","BRAYBROOK",2456.2,2011,16719,3019
"216","BRAYBROOK",2456.2,2010,16343,3019
"217","BRAYBROOK",2456.2,2013,17456,3019
"218","BRAYBROOK",2456.2,2012,17055,3019
"219","BRAYBROOK",2456.2,2014,18029,3019
"220","BRAYBROOK",2456.2,2005,13184,3019
"221","BRIGHTON EAST",3008.5,2014,16751,3187
"222","BRIGHTON EAST",3008.5,2011,16087,3187
"223","BRIGHTON EAST",3008.5,2010,16060,3187
"224","BRIGHTON EAST",3008.5,2013,16532,3187
"225","BRIGHTON EAST",3008.5,2012,16294,3187
"226","BRIGHTON EAST",3008.5,2009,15958,3187
"227","BRIGHTON EAST",3008.5,2007,15460,3187
"228","BRIGHTON EAST",3008.5,2008,15739,3187
"229","BRIGHTON EAST",3008.5,2015,16871,3187
"230","BRIGHTON EAST",3008.5,2006,15265,3187
"231","BRIGHTON EAST",3008.5,2005,15011,3187
"232","BROADMEADOWS",1505.7,2008,11551,3047
"233","BROADMEADOWS",1505.7,2009,11791,3047
"234","BROADMEADOWS",1505.7,2010,12048,3047
"235","BROADMEADOWS",1505.7,2005,11518,3047
"236","BROADMEADOWS",1505.7,2007,11461,3047
"237","BROADMEADOWS",1505.7,2015,13290,3047
"238","BROADMEADOWS",1505.7,2013,12614,3047
"239","BROADMEADOWS",1505.7,2014,12953,3047
"240","BROADMEADOWS",1505.7,2011,12243,3047
"241","BROADMEADOWS",1505.7,2006,11465,3047
"242","BROADMEADOWS",1505.7,2012,12416,3047
"243","BRUNSWICK",5102.6,2010,23546,3056
"244","BRUNSWICK",5102.6,2012,24490,3056
"245","BRUNSWICK",5102.6,2015,26240,3056
"246","BRUNSWICK",5102.6,2009,23110,3056
"247","BRUNSWICK",5102.6,2007,22144,3056
"248","BRUNSWICK",5102.6,2014,25733,3056
"249","BRUNSWICK",5102.6,2013,25092,3056
"250","BRUNSWICK",5102.6,2011,23987,3056
"251","BRUNSWICK",5102.6,2008,22641,3056
"252","BRUNSWICK",5102.6,2005,21384,3056
"253","BRUNSWICK",5102.6,2006,21655,3056
"254","BRUNSWICK EAST",4981.9,2010,8789,3057
"255","BRUNSWICK EAST",4981.9,2007,8058,3057
"256","BRUNSWICK EAST",4981.9,2015,10801,3057
"257","BRUNSWICK EAST",4981.9,2011,8966,3057
"258","BRUNSWICK EAST",4981.9,2006,7803,3057
"259","BRUNSWICK EAST",4981.9,2008,8313,3057
"260","BRUNSWICK EAST",4981.9,2014,10212,3057
"261","BRUNSWICK EAST",4981.9,2005,7658,3057
"262","BRUNSWICK EAST",4981.9,2013,9916,3057
"263","BRUNSWICK EAST",4981.9,2009,8586,3057
"264","BRUNSWICK EAST",4981.9,2012,9132,3057
"265","BRUNSWICK WEST",4589.1,2007,12946,3055
"266","BRUNSWICK WEST",4589.1,2015,14590,3055
"267","BRUNSWICK WEST",4589.1,2011,13864,3055
"268","BRUNSWICK WEST",4589.1,2013,14141,3055
"269","BRUNSWICK WEST",4589.1,2012,14008,3055
"270","BRUNSWICK WEST",4589.1,2005,12609,3055
"271","BRUNSWICK WEST",4589.1,2014,14391,3055
"272","BRUNSWICK WEST",4589.1,2006,12746,3055
"273","BRUNSWICK WEST",4589.1,2010,13741,3055
"274","BRUNSWICK WEST",4589.1,2008,13232,3055
"275","BRUNSWICK WEST",4589.1,2009,13580,3055
"276","BULLEEN",1754,2012,11405,3105
"277","BULLEEN",1754,2014,11550,3105
"278","BULLEEN",1754,2009,11290,3105
"279","BULLEEN",1754,2007,11013,3105
"280","BULLEEN",1754,2011,11376,3105
"281","BULLEEN",1754,2005,10920,3105
"282","BULLEEN",1754,2015,11701,3105
"283","BULLEEN",1754,2008,11136,3105
"284","BULLEEN",1754,2006,10867,3105
"285","BULLEEN",1754,2010,11350,3105
"286","BULLEEN",1754,2013,11423,3105
"287","BUNINYONG",139.7,2011,6725,3357
"288","BUNINYONG",139.7,2010,6595,3357
"289","BUNINYONG",139.7,2006,6037,3357
"290","BUNINYONG",139.7,2007,6131,3357
"291","BUNINYONG",139.7,2009,6431,3357
"292","BUNINYONG",139.7,2013,6992,3357
"293","BUNINYONG",139.7,2005,5857,3357
"294","BUNINYONG",139.7,2008,6252,3357
"295","BUNINYONG",139.7,2015,7206,3357
"296","BUNINYONG",139.7,2012,6830,3357
"297","BUNINYONG",139.7,2014,7098,3357
"298","BURWOOD",2407.3,2013,11690,3125
"299","BURWOOD",2407.3,2012,11488,3125
"300","BURWOOD",2407.3,2007,10363,3125
"301","BURWOOD",2407.3,2009,10936,3125
"302","BURWOOD",2407.3,2010,11150,3125
"303","BURWOOD",2407.3,2011,11327,3125
"304","BURWOOD",2407.3,2008,10650,3125
"305","BURWOOD",2407.3,2005,10048,3125
"306","BURWOOD",2407.3,2006,10227,3125
"307","BURWOOD",2407.3,2015,12131,3125
"308","BURWOOD",2407.3,2014,11947,3125
"309","BURWOOD EAST",2515.7,2009,10525,3151
"310","BURWOOD EAST",2515.7,2010,10572,3151
"311","BURWOOD EAST",2515.7,2014,10700,3151
"312","BURWOOD EAST",2515.7,2015,10723,3151
"313","BURWOOD EAST",2515.7,2007,10312,3151
"314","BURWOOD EAST",2515.7,2006,10239,3151
"315","BURWOOD EAST",2515.7,2011,10614,3151
"316","BURWOOD EAST",2515.7,2012,10640,3151
"317","BURWOOD EAST",2515.7,2013,10682,3151
"318","BURWOOD EAST",2515.7,2005,10183,3151
"319","BURWOOD EAST",2515.7,2008,10408,3151
"320","CAIRNLEA",2330.1,2010,9099,3023
"321","CAIRNLEA",2330.1,2015,10264,3023
"322","CAIRNLEA",2330.1,2014,10031,3023
"323","CAIRNLEA",2330.1,2007,7362,3023
"324","CAIRNLEA",2330.1,2005,5255,3023
"325","CAIRNLEA",2330.1,2009,8788,3023
"326","CAIRNLEA",2330.1,2012,9608,3023
"327","CAIRNLEA",2330.1,2008,8121,3023
"328","CAIRNLEA",2330.1,2006,6322,3023
"329","CAIRNLEA",2330.1,2011,9311,3023
"330","CAIRNLEA",2330.1,2013,9811,3023
"331","CAMBERWELL",3020.5,2005,20202,3124
"332","CAMBERWELL",3020.5,2011,20918,3124
"333","CAMBERWELL",3020.5,2014,21569,3124
"334","CAMBERWELL",3020.5,2013,21259,3124
"335","CAMBERWELL",3020.5,2012,21087,3124
"336","CAMBERWELL",3020.5,2010,20822,3124
"337","CAMBERWELL",3020.5,2007,20339,3124
"338","CAMBERWELL",3020.5,2008,20479,3124
"339","CAMBERWELL",3020.5,2009,20701,3124
"340","CAMBERWELL",3020.5,2015,22024,3124
"341","CAMBERWELL",3020.5,2006,20218,3124
"342","CARLTON",9783.1,2007,13509,3053
"343","CARLTON",9783.1,2005,11924,3053
"344","CARLTON",9783.1,2011,15122,3053
"345","CARLTON",9783.1,2006,12737,3053
"346","CARLTON",9783.1,2012,15377,3053
"347","CARLTON",9783.1,2008,14133,3053
"348","CARLTON",9783.1,2010,14926,3053
"349","CARLTON",9783.1,2015,17788,3053
"350","CARLTON",9783.1,2014,17243,3053
"351","CARLTON",9783.1,2009,14687,3053
