"","POSTCODE","Suburb","Top country of birth","rang0n4","rang5n9","rang10n14","rang15n19","rang20n24","rang25n44","rang45n64","rang65n69","rang70n74","rang75n79","rang80n84","above85","total","Born overseas, %","Born in non-English speaking country, %","Top country of birth__1","Top country of birth, persons","Top country of birth, %","Children","Adult","Elderly"
"73",3043,"Gladstone Park","Italy",4.9,4.7,5.4,6.4,7.2,25.1,28.5,6.7,4.4,3.2,2,1.5,8637,35.7,30.9,"Italy",686,4.4,15,67.2,17.8
"74",3043,"Tullamarine","Italy",5.2,4.2,3.9,4.7,7.7,33.7,24.6,5.9,4.7,2.4,1.9,1.2,6552,35.9,30.6,"Italy",542,4.6,13.3,70.7,16.1
"75",3043,"Gowanbrae","Italy",9.3,8.1,6.4,4.8,5.7,36.4,18.9,3.3,2.7,2.3,1.1,1.1,2922,26.5,22,"Italy",132,2.5,23.8,65.8,10.5
"76",3044,"Pascoe Vale","Italy",6.6,5.6,5,4.8,6.3,34.5,20.1,2.9,2.8,3.5,3.5,4.4,15746,31.1,26.7,"Italy",1870,6.6,17.2,65.7,17.1
"77",3044,"Pascoe Vale South","Italy",6.6,7.3,6.3,5.7,6,29.3,24.5,3.2,2.6,2.9,2.6,2.8,9934,24.7,20.8,"Italy",1182,6.4,20.2,65.5,14.1
"78",3045,"Melbourne Airport","New Zealand",5.1,9.5,1.9,9.5,7,26.6,22.8,8.9,0,5.7,1.9,1.3,158,30.2,20.9,"New Zealand",18,10.6,16.5,65.9,17.8
"79",3046,"Glenroy","India",6.9,5.4,5.2,5.7,7.3,32.3,19.6,3.6,3.6,3.8,3.6,3.1,20810,41.9,37.7,"India",1994,5.5,17.5,64.9,17.7
"80",3046,"Oak Park","India",6.2,5.1,5.3,5.6,7.5,33.6,22.6,2.9,2.9,3.8,2.8,1.6,6102,31,26.5,"India",442,4,16.6,69.3,14
"81",3046,"Hadfield","Italy",6.7,5.9,5.3,6.4,6.3,27.9,20.9,4.2,5.6,4.9,3.8,2.2,5625,35.3,32.6,"Italy",832,8.4,17.9,61.5,20.7
"82",3047,"Broadmeadows","Iraq",8.3,7.5,7.2,8,7.8,29.3,20.1,3.8,2.7,2.4,1.9,1,11187,46.9,43.1,"Iraq",1400,7.5,23,65.2,11.8
"83",3047,"Dallas","Turkey",7.6,8,7.4,7.2,8.2,27.6,20.5,4.2,3.6,3.1,2,0.7,6778,49,45.7,"Turkey",1784,15.5,23,63.5,13.6
"84",3047,"Jacana","India",5,5.8,5.3,5.8,6.4,30.9,21.3,5,4.1,4.7,3.8,2,2048,39.2,33.7,"India",138,3.9,16.1,64.4,19.6
"85",3048,"Meadow Heights","Turkey",8.2,8,8.7,8.9,8.4,28.6,22,3.4,2,1.1,0.5,0.3,15635,47.5,45,"Turkey",3786,13.5,24.9,67.9,7.3
"86",3048,"Coolaroo","Iraq",6.9,7.1,7.1,8.3,8,24.6,21.2,5.7,5.1,3.2,2,0.9,3345,43.6,39.7,"Iraq",662,11,21.1,62.1,16.9
"87",3049,"Westmeadows","Italy",4.8,4.7,4.6,6.4,8.2,28.2,29.4,5.6,3.4,2.5,1.5,0.7,5725,25.6,21.1,"Italy",472,4.6,14.1,72.2,13.7
"88",3049,"Attwood","Italy",6.4,8.5,7.6,8,7.3,28.9,26.4,3.4,1.8,0.9,0.5,0.4,3387,23.9,20.1,"Italy",222,3.5,22.5,70.6,7
"89",3051,"North Melbourne","China",4.1,3.3,3.3,5.8,16.5,43.4,16.2,2.2,1.9,1.4,1,0.8,12943,46.1,36.7,"China",1722,8.2,10.7,81.9,7.3
"90",3052,"Parkville","China",2.4,1.7,1.6,17.3,27.2,26.5,12.4,3.5,1.8,1.5,1.5,2.7,6690,38.7,28.9,"China",724,6.3,5.7,83.4,11
"91",3053,"Carlton","China",3,2.4,1.9,8.4,30.8,37.1,10.8,2,1.4,1,0.7,0.5,14602,63,55.3,"China",2668,11.2,7.3,87.1,5.6
