Suburb,Population density 2015,year,population
PARKVILLE,1820.8,2008,6000
SOUTH YARRA - WEST,4603.7,2008,6118
SOUTHBANK,5923.7,2008,11408
ALBERT PARK,3516.6,2008,13928
ELWOOD,6456.4,2008,15076
PORT MELBOURNE,6098.6,2008,14958
PORT MELBOURNE INDUSTRIAL,2.2,2008,11
SOUTH MELBOURNE,5072.1,2008,10126
ST KILDA,6965.1,2008,22918
ST KILDA EAST,7209,2008,16157
ARMADALE,4475.2,2008,9148
PRAHRAN - WINDSOR,7210.3,2008,18299
SOUTH YARRA - EAST,7936.9,2008,14860
TOORAK,3261.3,2008,13956
ABBOTSFORD,4339.1,2008,4727
CARLTON NORTH - PRINCES HILL,3945.1,2008,8747
COLLINGWOOD,6657.3,2008,6185
FITZROY,8265.8,2008,9857
FITZROY NORTH,5189.9,2008,11937
RICHMOND (VIC.),5030.8,2008,26774
YARRA - NORTH,1771.6,2008,8372
ASHBURTON (VIC.),2925.9,2008,7679
BALWYN,3016.4,2008,16084
BALWYN NORTH,2408.6,2008,20657
CAMBERWELL,3020.5,2008,20479
GLEN IRIS - EAST,3007.1,2008,16167
HAWTHORN,4232.6,2008,21091
HAWTHORN EAST,4129.4,2008,14022
KEW,2468.1,2008,24371
KEW EAST,1642.3,2008,6407
SURREY HILLS (WEST) - CANTERBURY,2935.7,2008,16451
BULLEEN,1754,2008,11136
DONCASTER,2312.1,2008,18834
DONCASTER EAST,2632.9,2008,28056
TEMPLESTOWE,1071,2008,17314
TEMPLESTOWE LOWER,2402.4,2008,13687
BLACKBURN,2518.5,2008,19999
BLACKBURN SOUTH,3115,2008,10760
BOX HILL,2832,2008,17414
BOX HILL NORTH,2914.1,2008,16699
BURWOOD,2407.3,2008,10650
BURWOOD EAST,2515.7,2008,10408
SURREY HILLS (EAST) - MONT ALBERT,3122.3,2008,10014
BEAUMARIS,2322.9,2008,13123
BRIGHTON (VIC.),2901.5,2008,21940
BRIGHTON EAST,3008.5,2008,15739
CHELTENHAM - HIGHETT (WEST),2136.8,2008,10228
HAMPTON,3245.3,2008,17042
SANDRINGHAM - BLACK ROCK,2640.2,2008,15463
BENTLEIGH - MCKINNON,3735.9,2008,21203
BENTLEIGH EAST,3173.9,2008,26152
CARNEGIE,4856.7,2008,16289
CAULFIELD - NORTH,3445.4,2008,20101
CAULFIELD - SOUTH,3850.3,2008,16859
ELSTERNWICK,4127.9,2008,11031
HUGHESDALE,3908.6,2008,7253
MURRUMBEENA,3809.9,2008,8896
ORMOND - GLEN HUNTLY,4644.7,2008,12369
ASPENDALE GARDENS - WATERWAYS,1776.5,2008,8269
BRAESIDE,2.2,2008,16
CARRUM - PATTERSON LAKES,2007.7,2008,11382
CHELSEA - BONBEACH,2621,2008,12580
CHELSEA HEIGHTS,1703,2008,5299
CHELTENHAM - HIGHETT (EAST),2594.2,2008,20425
EDITHVALE - ASPENDALE,2567.6,2008,11984
MENTONE,2971.5,2008,11728
MOORABBIN - HEATHERTON,764,2008,8164
MORDIALLOC - PARKDALE,2532.4,2008,18836
MALVERN - GLEN IRIS,3458.1,2008,19730
MALVERN EAST,2890,2008,20848
BUNDOORA - EAST,2423.5,2008,9636
GREENSBOROUGH,2094.9,2008,20909
HEIDELBERG - ROSANNA,2371.3,2008,13544
HEIDELBERG WEST,2256.4,2008,13480
IVANHOE,2388.8,2008,11275
IVANHOE EAST - EAGLEMONT,1925.3,2008,7968
MONTMORENCY - BRIAR HILL,1365.3,2008,15863
VIEWBANK - YALLAMBIE,1844.3,2008,18642
WATSONIA,2480.7,2008,9263
KINGSBURY,1271.6,2008,9858
PRESTON,2946.1,2008,29834
RESERVOIR - EAST,3034.9,2008,25115
RESERVOIR - WEST,2430.2,2008,23286
ELTHAM,1201.3,2008,23863
HURSTBRIDGE,239.5,2008,3697
KINGLAKE,12.3,2008,4064
PANTON HILL - ST ANDREWS,17.9,2008,5357
PLENTY - YARRAMBAT,329.4,2008,9047
RESEARCH - NORTH WARRANDYTE,137,2008,6852
WATTLE GLEN - DIAMOND CREEK,521.7,2008,13551
BUNDOORA - NORTH,1454.9,2008,5048
BUNDOORA - WEST,2534.8,2008,6503
EPPING,459,2008,22530
LALOR,1921.7,2008,20345
MILL PARK - NORTH,2282.9,2008,19360
MILL PARK - SOUTH,2468,2008,13276
SOUTH MORANG,992.9,2008,22982
THOMASTOWN,1460.1,2008,21398
WALLAN,29.9,2008,10938
WHITTLESEA,28.2,2008,7004
AIRPORT WEST,2115.4,2008,6983
KEILOR,495.3,2008,8800
KEILOR EAST,2485.6,2008,25146
NIDDRIE - ESSENDON WEST,2518.7,2008,6280
STRATHMORE,2371,2008,9169
GISBORNE,59.6,2008,10364
MACEDON,45.4,2008,3391
RIDDELLS CREEK,48,2008,3749
ROMSEY,14.7,2008,8336
COBURG NORTH,1542.6,2008,6490
FAWKNER,2807.3,2008,12674
GLENROY - HADFIELD,2326.4,2008,27294
PASCOE VALE,3352.1,2008,20311
SUNBURY,102,2008,12777
SUNBURY - SOUTH,197.5,2008,23447
BROADMEADOWS,1505.7,2008,11551
CAMPBELLFIELD - COOLAROO,937.7,2008,16222
CRAIGIEBURN - MICKLEHAM,455.4,2008,27573
GLADSTONE PARK - WESTMEADOWS,1278.3,2008,18049
GREENVALE - BULLA,148.7,2008,12179
MEADOW HEIGHTS,3403.2,2008,15580
MELBOURNE AIRPORT,5.2,2008,141
ROXBURGH PARK - SOMERTON,1895.4,2008,19212
TULLAMARINE,1752.3,2008,6605
BAYSWATER,1517.1,2008,11213
BORONIA - THE BASIN,1562.1,2008,25425
FERNTREE GULLY,1784.9,2008,28205
KNOXFIELD - SCORESBY,924.4,2008,13260
LYSTERFIELD,372.6,2008,6492
ROWVILLE - CENTRAL,1862.4,2008,15955
ROWVILLE - NORTH,1943.9,2008,8409
ROWVILLE - SOUTH,1194.4,2008,11026
WANTIRNA,1696.9,2008,14329
WANTIRNA SOUTH,1392,2008,18309
DONVALE - PARK ORCHARDS,781.4,2008,16172
WARRANDYTE - WONGA PARK,226.6,2008,10443
BAYSWATER NORTH,1212.9,2008,11577
CROYDON,1851.7,2008,29232
CROYDON HILLS - WARRANWOOD,2011.7,2008,18455
RINGWOOD,1744.4,2008,15701
RINGWOOD EAST,2212.4,2008,19067
RINGWOOD NORTH,2071.7,2008,9599
FOREST HILL,2666,2008,10180
MITCHAM (VIC.),2505.8,2008,15102
NUNAWADING,2348.3,2008,10985
VERMONT,2313.3,2008,9988
VERMONT SOUTH,1970.6,2008,11906
BELGRAVE - SELBY,183,2008,10495
CHIRNSIDE PARK,440.2,2008,9307
HEALESVILLE - YARRA GLEN,36.4,2008,12721
KILSYTH,1093.6,2008,8668
LILYDALE - COLDSTREAM,174.8,2008,17889
MONBULK - SILVAN,83.8,2008,5707
MONTROSE,667.7,2008,6830
MOOROOLBARK,1774.2,2008,20506
MOUNT DANDENONG - OLINDA,120.7,2008,9903
MOUNT EVELYN,567.9,2008,9466
UPWEY - TECOMA,1108.5,2008,10072
WANDIN - SEVILLE,69.5,2008,7446
YARRA VALLEY,22.1,2008,16078
BEACONSFIELD - OFFICER,282.2,2008,7239
BUNYIP - GARFIELD,22.7,2008,8016
EMERALD - COCKATOO,49.1,2008,17793
KOO WEE RUP,18.1,2008,5884
PAKENHAM - NORTH,477.8,2008,9119
PAKENHAM - SOUTH,556.6,2008,15787
BERWICK - NORTH,1196.7,2008,22326
BERWICK - SOUTH,1673.7,2008,20093
DOVETON,2185.8,2008,9979
ENDEAVOUR HILLS,1307.4,2008,26762
HALLAM,1366.5,2008,10228
NARRE WARREN,1920,2008,26742
NARRE WARREN NORTH,223.7,2008,6695
CRANBOURNE,1664.9,2008,17059
CRANBOURNE EAST,441.2,2008,5350
CRANBOURNE NORTH,1862.4,2008,11516
CRANBOURNE SOUTH,109.5,2008,5419
CRANBOURNE WEST,967.1,2008,8208
HAMPTON PARK - LYNBROOK,1923.3,2008,23377
LYNBROOK - LYNDHURST,2113,2008,7660
NARRE WARREN SOUTH,2317.4,2008,28563
PEARCEDALE - TOORADIN,78.5,2008,7552
CLARINDA - OAKLEIGH SOUTH,1943.1,2008,12224
CLAYTON SOUTH,1622,2008,11456
DANDENONG,494.8,2008,25250
DANDENONG NORTH,2470.9,2008,22965
DINGLEY VILLAGE,1438,2008,10454
KEYSBOROUGH,810,2008,19777
NOBLE PARK,3678,2008,28090
NOBLE PARK NORTH,2091.4,2008,7764
SPRINGVALE,1973.6,2008,19586
SPRINGVALE SOUTH,2809.5,2008,12452
ASHWOOD - CHADSTONE,2747.7,2008,16191
CLAYTON,2223.1,2008,16836
GLEN WAVERLEY - EAST,2383.5,2008,21294
GLEN WAVERLEY - WEST,2644.6,2008,18837
MOUNT WAVERLEY - NORTH,2516.5,2008,15078
MOUNT WAVERLEY - SOUTH,2165.1,2008,17350
MULGRAVE,1837.1,2008,17641
OAKLEIGH - HUNTINGDALE,2203.7,2008,20410
WHEELERS HILL,1977.7,2008,20431
ARDEER - ALBION,1695,2008,6758
CAIRNLEA,2330.1,2008,8121
DEER PARK - DERRIMUT,1253.4,2008,17051
DELAHEY,2508.1,2008,9038
KEILOR DOWNS,1805.4,2008,14335
KINGS PARK (VIC.),3235.1,2008,14471
ST ALBANS - NORTH,3099.4,2008,19102
ST ALBANS - SOUTH,2757.3,2008,16187
SUNSHINE,2103,2008,8710
SUNSHINE NORTH,1464.4,2008,10592
SUNSHINE WEST,1452.4,2008,16629
SYDENHAM,3145.9,2008,11573
TAYLORS LAKES,1006,2008,19194
ALTONA,749,2008,12041
ALTONA MEADOWS,1847,2008,19746
ALTONA NORTH,898.4,2008,12974
NEWPORT,2062.8,2008,16182
SEABROOK,3236.6,2008,5192
WILLIAMSTOWN,2127.1,2008,15119
BRAYBROOK,2456.2,2008,14881
FOOTSCRAY,3299.1,2008,12462
MARIBYRNONG,2283.9,2008,9736
SEDDON - KINGSVILLE,5487.9,2008,8465
WEST FOOTSCRAY - TOTTENHAM,1948.5,2008,10543
YARRAVILLE,2726.5,2008,13815
BACCHUS MARSH,101.5,2008,16124
CAROLINE SPRINGS,2704.5,2008,20007
HILLSIDE,283.8,2008,15111
MELTON,152.8,2008,16275
MELTON SOUTH,202.6,2008,12983
MELTON WEST,704,2008,12132
ROCKBANK - MOUNT COTTRELL,24.4,2008,2489
TAYLORS HILL,3057.9,2008,12082
HOPPERS CROSSING - NORTH,1800.9,2008,19518
HOPPERS CROSSING - SOUTH,2757,2008,19161
LAVERTON,350,2008,4665
POINT COOK,1277.6,2008,21040
TARNEIT,546.5,2008,13456
TRUGANINA,741.8,2008,5770
WERRIBEE,241.7,2008,30089
WERRIBEE - SOUTH,104.8,2008,10455
WYNDHAM VALE,181.6,2008,13168
CARRUM DOWNS,1034.8,2008,18342
FRANKSTON,1975.1,2008,21951
FRANKSTON NORTH,1477.9,2008,19289
FRANKSTON SOUTH,1275.6,2008,17928
LANGWARRIN,628.3,2008,22222
SEAFORD (VIC.),1367.1,2008,16201
DROMANA,236.3,2008,9054
FLINDERS,18.9,2008,5754
HASTINGS - SOMERS,198.8,2008,19992
MORNINGTON,1155.6,2008,22460
MOUNT ELIZA,788.8,2008,17370
MOUNT MARTHA,633.7,2008,16332
POINT NEPEAN,246.2,2008,16627
ROSEBUD - MCCRAE,886.4,2008,19261
SOMERVILLE,153,2008,17553
ALFREDTON,191.5,2008,7272
BALLARAT,1002.2,2008,12480
BALLARAT - NORTH,257,2008,21736
BALLARAT - SOUTH,757.8,2008,21470
BUNINYONG,139.7,2008,6252
DELACOMBE,194.7,2008,5349
SMYTHES CREEK,38.6,2008,3658
WENDOUREE - MINERS REST,219.7,2008,13334
BACCHUS MARSH REGION,5.7,2008,5242
CRESWICK - CLUNES,8.7,2008,7388
DAYLESFORD,9.6,2008,8227
GORDON (VIC.),6.6,2008,5404
AVOCA,1.9,2008,3293
BEAUFORT,2.2,2008,3852
GOLDEN PLAINS - NORTH,4.5,2008,3988
MARYBOROUGH (VIC.),169.9,2008,7619
MARYBOROUGH REGION,3.1,2008,5102
BENDIGO,929,2008,14784
CALIFORNIA GULLY - EAGLEHAWK,341.7,2008,9888
EAST BENDIGO - KENNINGTON,799.9,2008,13641
FLORA HILL - SPRING GULLY,709.8,2008,9212
KANGAROO FLAT - GOLDEN SQUARE,482.8,2008,17817
MAIDEN GULLY,117.2,2008,3817
STRATHFIELDSAYE,147.2,2008,6246
WHITE HILLS - ASCOT,156.2,2008,7908
BENDIGO REGION - SOUTH,8.7,2008,5954
CASTLEMAINE,120.1,2008,9746
CASTLEMAINE REGION,5.5,2008,8122
HEATHCOTE,5.6,2008,4004
KYNETON,17,2008,8495
WOODEND,32.1,2008,6248
BENDIGO REGION - NORTH,3,2008,4089
LODDON,1.1,2008,7397
BANNOCKBURN,30.4,2008,4078
GOLDEN PLAINS - SOUTH,4.5,2008,5732
WINCHELSEA,6.2,2008,5615
BELMONT,1516.2,2008,13666
CORIO - NORLANE,330.1,2008,25979
GEELONG,1011.2,2008,12151
GEELONG WEST - HAMLYN HEIGHTS,615.7,2008,18754
GROVEDALE,399.4,2008,18699
HIGHTON,542.1,2008,18480
LARA,29.8,2008,15100
LEOPOLD,429.8,2008,9219
NEWCOMB - MOOLAP,344,2008,14758
NEWTOWN (VIC.),1793,2008,9885
NORTH GEELONG - BELL PARK,678.9,2008,14045
CLIFTON SPRINGS,197.7,2008,11350
LORNE - ANGLESEA,10.8,2008,4989
OCEAN GROVE - BARWON HEADS,134.5,2008,17566
PORTARLINGTON,99.5,2008,5978
QUEENSCLIFF,66.7,2008,4150
TORQUAY,144.3,2008,13221
ALEXANDRA,3,2008,6279
EUROA,2.9,2008,6035
KILMORE - BROADFORD,28.6,2008,11016
MANSFIELD (VIC.),2.2,2008,7865
NAGAMBIE,2.9,2008,3500
SEYMOUR,80,2008,6513
SEYMOUR REGION,2.6,2008,4220
UPPER YARRA VALLEY,0.3,2008,202
YEA,2.3,2008,3535
BENALLA,32.4,2008,10340
BENALLA REGION,1.6,2008,3438
RUTHERGLEN,7.8,2008,3693
WANGARATTA,315.3,2008,17541
WANGARATTA REGION,2.5,2008,9464
BEECHWORTH,11.8,2008,4214
BRIGHT - MOUNT BEAUTY,1.8,2008,7826
CHILTERN - INDIGO VALLEY,5.6,2008,2905
MYRTLEFORD,8.2,2008,4682
TOWONG,0.9,2008,6035
WEST WODONGA,98.4,2008,14351
WODONGA,84,2008,19806
YACKANDANDAH,6.3,2008,4349
DROUIN,47.1,2008,11315
MOUNT BAW BAW REGION,2.1,2008,5914
TRAFALGAR (VIC.),15,2008,6374
WARRAGUL,50.9,2008,15902
BAIRNSDALE,92.1,2008,13001
BRUTHEN - OMEO,1,2008,7330
LAKES ENTRANCE,46.6,2008,9076
ORBOST,0.6,2008,6840
PAYNESVILLE,14.6,2008,5300
FOSTER,5.4,2008,8189
FRENCH ISLAND,0.7,2008,101
KORUMBURRA,15,2008,8406
LEONGATHA,13.5,2008,10240
PHILLIP ISLAND,100.7,2008,8880
WILSONS PROMONTORY,0,2008,13
WONTHAGGI - INVERLOCH,29.9,2008,18891
CHURCHILL,14.9,2008,11327
MOE - NEWBOROUGH,154.4,2008,16787
MORWELL,163.5,2008,14053
TRARALGON,179.3,2008,24888
YALLOURN NORTH - GLENGARRY,13,2008,4464
ALPS - WEST,0,2008,27
LONGFORD - LOCH SPORT,2.4,2008,3769
MAFFRA,5.3,2008,13263
ROSEDALE,4.9,2008,4407
SALE,322.5,2008,14134
YARRAM,2.7,2008,5443
ARARAT,49.3,2008,8072
ARARAT REGION,0.7,2008,3041
HORSHAM,198,2008,15554
HORSHAM REGION,0.8,2008,3530
NHILL REGION,0.6,2008,7461
ST ARNAUD,1.1,2008,3672
STAWELL,3,2008,8427
WEST WIMMERA,0.5,2008,3047
YARRIAMBIACK,0.9,2008,7378
IRYMPLE,73.1,2008,6506
MERBEIN,44.5,2008,4677
MILDURA,432.9,2008,30394
MILDURA REGION,0.2,2008,4053
RED CLIFFS,22.2,2008,5510
BULOKE,0.7,2008,6785
GANNAWARRA,1.7,2008,6945
KERANG,25.8,2008,4130
ROBINVALE,18.8,2008,3724
SWAN HILL,85.4,2008,10333
SWAN HILL REGION,1.1,2008,6900
ECHUCA,79.8,2008,14085
KYABRAM,14.6,2008,10816
LOCKINGTON - GUNBOWER,2.2,2008,4100
ROCHESTER,10.9,2008,3800
RUSHWORTH,2.4,2008,4263
COBRAM,47.9,2008,6153
MOIRA,1.7,2008,2683
NUMURKAH,5.3,2008,12481
YARRAWONGA,81.3,2008,6651
MOOROOPNA,193.6,2008,7939
SHEPPARTON - NORTH,281.8,2008,16762
SHEPPARTON - SOUTH,161.5,2008,20603
SHEPPARTON REGION - EAST,3.7,2008,4034
SHEPPARTON REGION - WEST,9.6,2008,9970
GLENELG (VIC.),1.4,2008,9205
HAMILTON (VIC.),49.5,2008,10388
PORTLAND,167.9,2008,10812
SOUTHERN GRAMPIANS,0.9,2008,6626
CAMPERDOWN,34.2,2008,3515
COLAC,215.9,2008,11655
COLAC REGION,2.7,2008,5641
CORANGAMITE - NORTH,2,2008,5523
CORANGAMITE - SOUTH,3.9,2008,7567
MOYNE - EAST,2,2008,6631
MOYNE - WEST,4.6,2008,8792
OTWAY,2.1,2008,3501
WARRNAMBOOL - NORTH,334,2008,19107
WARRNAMBOOL - SOUTH,109.3,2008,12903
BRUNSWICK,5102.6,2009,23110
BRUNSWICK EAST,4981.9,2009,8586
BRUNSWICK WEST,4589.1,2009,13580
COBURG,3990.4,2009,25841
PASCOE VALE SOUTH,3419.6,2009,9678
ALPHINGTON - FAIRFIELD,3108.7,2009,8377
NORTHCOTE,4219.6,2009,23821
THORNBURY,3863.4,2009,18064
ASCOT VALE,3995.1,2009,13914
ESSENDON - ABERFELDIE,3275.2,2009,25262
FLEMINGTON,6322.1,2009,9030
MOONEE PONDS,3394.4,2009,14014
CARLTON,9783.1,2009,14687
DOCKLANDS,2955.1,2009,5402
EAST MELBOURNE,1865.7,2009,5202
FLEMINGTON RACECOURSE,50.3,2009,79
KENSINGTON,5124.4,2009,10158
MELBOURNE,14114.8,2009,18751
NORTH MELBOURNE,6121.2,2009,15409
PARKVILLE,1820.8,2009,6331
SOUTH YARRA - WEST,4603.7,2009,6380
SOUTHBANK,5923.7,2009,11931
ALBERT PARK,3516.6,2009,14245
ELWOOD,6456.4,2009,15425
PORT MELBOURNE,6098.6,2009,15315
PORT MELBOURNE INDUSTRIAL,2.2,2009,13
SOUTH MELBOURNE,5072.1,2009,10343
ST KILDA,6965.1,2009,23451
ST KILDA EAST,7209,2009,16480
ARMADALE,4475.2,2009,9260
PRAHRAN - WINDSOR,7210.3,2009,18583
SOUTH YARRA - EAST,7936.9,2009,15292
TOORAK,3261.3,2009,13979
ABBOTSFORD,4339.1,2009,4833
CARLTON NORTH - PRINCES HILL,3945.1,2009,8761
COLLINGWOOD,6657.3,2009,6454
FITZROY,8265.8,2009,10050
FITZROY NORTH,5189.9,2009,12104
RICHMOND (VIC.),5030.8,2009,27312
YARRA - NORTH,1771.6,2009,8519
ASHBURTON (VIC.),2925.9,2009,7798
BALWYN,3016.4,2009,16187
BALWYN NORTH,2408.6,2009,20753
CAMBERWELL,3020.5,2009,20701
GLEN IRIS - EAST,3007.1,2009,16420
HAWTHORN,4232.6,2009,21470
HAWTHORN EAST,4129.4,2009,14241
KEW,2468.1,2009,24660
KEW EAST,1642.3,2009,6484
SURREY HILLS (WEST) - CANTERBURY,2935.7,2009,16570
BULLEEN,1754,2009,11290
DONCASTER,2312.1,2009,19015
DONCASTER EAST,2632.9,2009,28270
TEMPLESTOWE,1071,2009,17376
TEMPLESTOWE LOWER,2402.4,2009,13781
BLACKBURN,2518.5,2009,20332
BLACKBURN SOUTH,3115,2009,10873
BOX HILL,2832,2009,17965
BOX HILL NORTH,2914.1,2009,16973
BURWOOD,2407.3,2009,10936
BURWOOD EAST,2515.7,2009,10525
SURREY HILLS (EAST) - MONT ALBERT,3122.3,2009,10150
BEAUMARIS,2322.9,2009,13264
BRIGHTON (VIC.),2901.5,2009,22264
BRIGHTON EAST,3008.5,2009,15958
CHELTENHAM - HIGHETT (WEST),2136.8,2009,10431
HAMPTON,3245.3,2009,17302
SANDRINGHAM - BLACK ROCK,2640.2,2009,15631
BENTLEIGH - MCKINNON,3735.9,2009,21612
BENTLEIGH EAST,3173.9,2009,26706
CARNEGIE,4856.7,2009,16742
CAULFIELD - NORTH,3445.4,2009,20385
CAULFIELD - SOUTH,3850.3,2009,17098
ELSTERNWICK,4127.9,2009,11199
HUGHESDALE,3908.6,2009,7465
MURRUMBEENA,3809.9,2009,8977
ORMOND - GLEN HUNTLY,4644.7,2009,12695
ASPENDALE GARDENS - WATERWAYS,1776.5,2009,8818
BRAESIDE,2.2,2009,18
CARRUM - PATTERSON LAKES,2007.7,2009,11623
CHELSEA - BONBEACH,2621,2009,13030
CHELSEA HEIGHTS,1703,2009,5333
CHELTENHAM - HIGHETT (EAST),2594.2,2009,20898
EDITHVALE - ASPENDALE,2567.6,2009,12223
MENTONE,2971.5,2009,11936
MOORABBIN - HEATHERTON,764,2009,8262
MORDIALLOC - PARKDALE,2532.4,2009,19297
MALVERN - GLEN IRIS,3458.1,2009,20108
MALVERN EAST,2890,2009,20964
BUNDOORA - EAST,2423.5,2009,9836
GREENSBOROUGH,2094.9,2009,20963
HEIDELBERG - ROSANNA,2371.3,2009,13935
HEIDELBERG WEST,2256.4,2009,13694
IVANHOE,2388.8,2009,11516
IVANHOE EAST - EAGLEMONT,1925.3,2009,7999
MONTMORENCY - BRIAR HILL,1365.3,2009,16110
VIEWBANK - YALLAMBIE,1844.3,2009,18885
WATSONIA,2480.7,2009,9310
KINGSBURY,1271.6,2009,10419
PRESTON,2946.1,2009,30502
RESERVOIR - EAST,3034.9,2009,25479
RESERVOIR - WEST,2430.2,2009,23627
ELTHAM,1201.3,2009,23865
HURSTBRIDGE,239.5,2009,3675
KINGLAKE,12.3,2009,3567
PANTON HILL - ST ANDREWS,17.9,2009,5329
PLENTY - YARRAMBAT,329.4,2009,9266
RESEARCH - NORTH WARRANDYTE,137,2009,6867
WATTLE GLEN - DIAMOND CREEK,521.7,2009,13783
BUNDOORA - NORTH,1454.9,2009,5302
BUNDOORA - WEST,2534.8,2009,6479
EPPING,459,2009,23986
LALOR,1921.7,2009,20527
MILL PARK - NORTH,2282.9,2009,19398
MILL PARK - SOUTH,2468,2009,13205
SOUTH MORANG,992.9,2009,27880
THOMASTOWN,1460.1,2009,21512
WALLAN,29.9,2009,11268
WHITTLESEA,28.2,2009,7156
AIRPORT WEST,2115.4,2009,7067
KEILOR,495.3,2009,8767
KEILOR EAST,2485.6,2009,25269
NIDDRIE - ESSENDON WEST,2518.7,2009,6350
STRATHMORE,2371,2009,9378
GISBORNE,59.6,2009,10769
MACEDON,45.4,2009,3374
RIDDELLS CREEK,48,2009,3801
ROMSEY,14.7,2009,8585
COBURG NORTH,1542.6,2009,6700
FAWKNER,2807.3,2009,12970
GLENROY - HADFIELD,2326.4,2009,28040
PASCOE VALE,3352.1,2009,20887
SUNBURY,102,2009,12961
SUNBURY - SOUTH,197.5,2009,24128
BROADMEADOWS,1505.7,2009,11791
CAMPBELLFIELD - COOLAROO,937.7,2009,16455
CRAIGIEBURN - MICKLEHAM,455.4,2009,30197
GLADSTONE PARK - WESTMEADOWS,1278.3,2009,17980
GREENVALE - BULLA,148.7,2009,12381
MEADOW HEIGHTS,3403.2,2009,15692
MELBOURNE AIRPORT,5.2,2009,144
ROXBURGH PARK - SOMERTON,1895.4,2009,20110
TULLAMARINE,1752.3,2009,6605
BAYSWATER,1517.1,2009,11361
BORONIA - THE BASIN,1562.1,2009,25640
FERNTREE GULLY,1784.9,2009,28780
KNOXFIELD - SCORESBY,924.4,2009,13389
LYSTERFIELD,372.6,2009,6695
ROWVILLE - CENTRAL,1862.4,2009,15991
ROWVILLE - NORTH,1943.9,2009,8507
ROWVILLE - SOUTH,1194.4,2009,11214
WANTIRNA,1696.9,2009,14334
WANTIRNA SOUTH,1392,2009,18304
DONVALE - PARK ORCHARDS,781.4,2009,16222
WARRANDYTE - WONGA PARK,226.6,2009,10467
BAYSWATER NORTH,1212.9,2009,11770
CROYDON,1851.7,2009,29917
CROYDON HILLS - WARRANWOOD,2011.7,2009,18728
RINGWOOD,1744.4,2009,16175
RINGWOOD EAST,2212.4,2009,19378
RINGWOOD NORTH,2071.7,2009,9637
FOREST HILL,2666,2009,10321
MITCHAM (VIC.),2505.8,2009,15208
NUNAWADING,2348.3,2009,11200
VERMONT,2313.3,2009,10147
VERMONT SOUTH,1970.6,2009,11968
BELGRAVE - SELBY,183,2009,10504
CHIRNSIDE PARK,440.2,2009,9387
HEALESVILLE - YARRA GLEN,36.4,2009,12991
KILSYTH,1093.6,2009,8737
LILYDALE - COLDSTREAM,174.8,2009,18306
MONBULK - SILVAN,83.8,2009,5736
MONTROSE,667.7,2009,6921
MOOROOLBARK,1774.2,2009,20870
MOUNT DANDENONG - OLINDA,120.7,2009,9974
MOUNT EVELYN,567.9,2009,9561
UPWEY - TECOMA,1108.5,2009,10095
WANDIN - SEVILLE,69.5,2009,7560
YARRA VALLEY,22.1,2009,16227
BEACONSFIELD - OFFICER,282.2,2009,7643
BUNYIP - GARFIELD,22.7,2009,8234
EMERALD - COCKATOO,49.1,2009,17902
KOO WEE RUP,18.1,2009,6223
PAKENHAM - NORTH,477.8,2009,10332
PAKENHAM - SOUTH,556.6,2009,17761
BERWICK - NORTH,1196.7,2009,22695
BERWICK - SOUTH,1673.7,2009,21880
DOVETON,2185.8,2009,10192
ENDEAVOUR HILLS,1307.4,2009,26769
HALLAM,1366.5,2009,10430
NARRE WARREN,1920,2009,26869
NARRE WARREN NORTH,223.7,2009,6963
CRANBOURNE,1664.9,2009,18016
CRANBOURNE EAST,441.2,2009,6211
CRANBOURNE NORTH,1862.4,2009,12536
CRANBOURNE SOUTH,109.5,2009,5833
CRANBOURNE WEST,967.1,2009,8571
HAMPTON PARK - LYNBROOK,1923.3,2009,23904
LYNBROOK - LYNDHURST,2113,2009,9002
NARRE WARREN SOUTH,2317.4,2009,29233
PEARCEDALE - TOORADIN,78.5,2009,7574
CLARINDA - OAKLEIGH SOUTH,1943.1,2009,12223
CLAYTON SOUTH,1622,2009,11884
DANDENONG,494.8,2009,25915
DANDENONG NORTH,2470.9,2009,23010
DINGLEY VILLAGE,1438,2009,10505
KEYSBOROUGH,810,2009,20489
NOBLE PARK,3678,2009,28905
NOBLE PARK NORTH,2091.4,2009,7802
SPRINGVALE,1973.6,2009,19969
SPRINGVALE SOUTH,2809.5,2009,12650
ASHWOOD - CHADSTONE,2747.7,2009,16560
CLAYTON,2223.1,2009,17285
GLEN WAVERLEY - EAST,2383.5,2009,21481
GLEN WAVERLEY - WEST,2644.6,2009,19187
MOUNT WAVERLEY - NORTH,2516.5,2009,15379
MOUNT WAVERLEY - SOUTH,2165.1,2009,17792
MULGRAVE,1837.1,2009,18028
OAKLEIGH - HUNTINGDALE,2203.7,2009,20805
WHEELERS HILL,1977.7,2009,20416
ARDEER - ALBION,1695,2009,7087
CAIRNLEA,2330.1,2009,8788
DEER PARK - DERRIMUT,1253.4,2009,19433
DELAHEY,2508.1,2009,9003
KEILOR DOWNS,1805.4,2009,14281
KINGS PARK (VIC.),3235.1,2009,14404
ST ALBANS - NORTH,3099.4,2009,19343
ST ALBANS - SOUTH,2757.3,2009,16535
SUNSHINE,2103,2009,8936
SUNSHINE NORTH,1464.4,2009,10770
SUNSHINE WEST,1452.4,2009,17042
SYDENHAM,3145.9,2009,11750
TAYLORS LAKES,1006,2009,19258
ALTONA,749,2009,12152
ALTONA MEADOWS,1847,2009,19895
