Suburb,Population density 2015,year,population
LYNBROOK - LYNDHURST,2113,2005,4091
NARRE WARREN SOUTH,2317.4,2005,24494
PEARCEDALE - TOORADIN,78.5,2005,7537
CLARINDA - OAKLEIGH SOUTH,1943.1,2005,12367
CLAYTON SOUTH,1622,2005,10947
DANDENONG,494.8,2005,22980
DANDENONG NORTH,2470.9,2005,22815
DINGLEY VILLAGE,1438,2005,10375
KEYSBOROUGH,810,2005,17335
NOBLE PARK,3678,2005,26609
NOBLE PARK NORTH,2091.4,2005,7861
SPRINGVALE,1973.6,2005,18716
SPRINGVALE SOUTH,2809.5,2005,11738
ASHWOOD - CHADSTONE,2747.7,2005,15243
CLAYTON,2223.1,2005,15933
GLEN WAVERLEY - EAST,2383.5,2005,21086
GLEN WAVERLEY - WEST,2644.6,2005,18012
MOUNT WAVERLEY - NORTH,2516.5,2005,14612
MOUNT WAVERLEY - SOUTH,2165.1,2005,16551
MULGRAVE,1837.1,2005,16747
OAKLEIGH - HUNTINGDALE,2203.7,2005,19487
WHEELERS HILL,1977.7,2005,20642
ARDEER - ALBION,1695,2005,6523
CAIRNLEA,2330.1,2005,5255
DEER PARK - DERRIMUT,1253.4,2005,13644
DELAHEY,2508.1,2005,8954
KEILOR DOWNS,1805.4,2005,14697
KINGS PARK (VIC.),3235.1,2005,14796
ST ALBANS - NORTH,3099.4,2005,18824
ST ALBANS - SOUTH,2757.3,2005,16148
SUNSHINE,2103,2005,8244
SUNSHINE NORTH,1464.4,2005,10473
SUNSHINE WEST,1452.4,2005,16443
SYDENHAM,3145.9,2005,11061
TAYLORS LAKES,1006,2005,18687
ALTONA,749,2005,11864
ALTONA MEADOWS,1847,2005,19379
ALTONA NORTH,898.4,2005,12869
NEWPORT,2062.8,2005,15186
SEABROOK,3236.6,2005,5124
WILLIAMSTOWN,2127.1,2005,14550
BRAYBROOK,2456.2,2005,13184
FOOTSCRAY,3299.1,2005,11731
MARIBYRNONG,2283.9,2005,8026
SEDDON - KINGSVILLE,5487.9,2005,8202
WEST FOOTSCRAY - TOTTENHAM,1948.5,2005,9988
YARRAVILLE,2726.5,2005,13006
BACCHUS MARSH,101.5,2005,15345
CAROLINE SPRINGS,2704.5,2005,14068
HILLSIDE,283.8,2005,13302
MELTON,152.8,2005,14834
MELTON SOUTH,202.6,2005,12136
MELTON WEST,704,2005,9683
ROCKBANK - MOUNT COTTRELL,24.4,2005,2245
TAYLORS HILL,3057.9,2005,6073
HOPPERS CROSSING - NORTH,1800.9,2005,19322
HOPPERS CROSSING - SOUTH,2757,2005,19738
LAVERTON,350,2005,4553
POINT COOK,1277.6,2005,11588
TARNEIT,546.5,2005,5683
TRUGANINA,741.8,2005,2457
WERRIBEE,241.7,2005,29466
WERRIBEE - SOUTH,104.8,2005,10252
WYNDHAM VALE,181.6,2005,9754
CARRUM DOWNS,1034.8,2005,17122
FRANKSTON,1975.1,2005,21540
FRANKSTON NORTH,1477.9,2005,19255
FRANKSTON SOUTH,1275.6,2005,17519
LANGWARRIN,628.3,2005,21036
SEAFORD (VIC.),1367.1,2005,15840
DROMANA,236.3,2005,8588
FLINDERS,18.9,2005,5901
HASTINGS - SOMERS,198.8,2005,18374
MORNINGTON,1155.6,2005,21151
MOUNT ELIZA,788.8,2005,17102
MOUNT MARTHA,633.7,2005,14781
POINT NEPEAN,246.2,2005,16473
ROSEBUD - MCCRAE,886.4,2005,18328
SOMERVILLE,153,2005,17061
ALFREDTON,191.5,2005,6648
BALLARAT,1002.2,2005,12269
BALLARAT - NORTH,257,2005,21134
BALLARAT - SOUTH,757.8,2005,20423
BUNINYONG,139.7,2005,5857
DELACOMBE,194.7,2005,4704
SMYTHES CREEK,38.6,2005,3508
WENDOUREE - MINERS REST,219.7,2005,13028
BACCHUS MARSH REGION,5.7,2005,5048
CRESWICK - CLUNES,8.7,2005,7332
DAYLESFORD,9.6,2005,8037
GORDON (VIC.),6.6,2005,5351
AVOCA,1.9,2005,3247
BEAUFORT,2.2,2005,3821
GOLDEN PLAINS - NORTH,4.5,2005,3948
MARYBOROUGH (VIC.),169.9,2005,7597
MARYBOROUGH REGION,3.1,2005,5118
BENDIGO,929,2005,15016
CALIFORNIA GULLY - EAGLEHAWK,341.7,2005,9531
EAST BENDIGO - KENNINGTON,799.9,2005,13430
FLORA HILL - SPRING GULLY,709.8,2005,9132
KANGAROO FLAT - GOLDEN SQUARE,482.8,2005,17165
MAIDEN GULLY,117.2,2005,3355
STRATHFIELDSAYE,147.2,2005,5310
WHITE HILLS - ASCOT,156.2,2005,6727
BENDIGO REGION - SOUTH,8.7,2005,5557
CASTLEMAINE,120.1,2005,9603
CASTLEMAINE REGION,5.5,2005,7871
