POSTCODE,year,occurence
3850,2011,"1,758"
3851,2011,386
3852,2011,0
3854,2011,27
3856,2011,17
3857,2011,20
3858,2011,204
3859,2011,34
3860,2011,405
3862,2011,84
3864,2011,12
3865,2011,10
3869,2011,75
3870,2011,56
3871,2011,103
3873,2011,12
3874,2011,46
3875,2011,"1,476"
3878,2011,12
3880,2011,108
3882,2011,12
3885,2011,54
3886,2011,13
3887,2011,36
3888,2011,245
3889,2011,12
3890,2011,26
3891,2011,9
3892,2011,87
3893,2011,1
3895,2011,2
3896,2011,14
3898,2011,25
3900,2011,10
3902,2011,9
3903,2011,29
3904,2011,23
3909,2011,713
3910,2011,903
3911,2011,197
3912,2011,637
3913,2011,219
3915,2011,"1,137"
3916,2011,42
3918,2011,106
3919,2011,207
3920,2011,12
3921,2011,0
3922,2011,510
3923,2011,14
3925,2011,155
3926,2011,111
3927,2011,36
3928,2011,2
3929,2011,79
3930,2011,802
3931,2011,"1,778"
3933,2011,46
3934,2011,499
3936,2011,495
3937,2011,43
3938,2011,84
3939,2011,"1,191"
3940,2011,238
3941,2011,879
3942,2011,107
3943,2011,182
3944,2011,73
3945,2011,25
3946,2011,4
3950,2011,192
3951,2011,12
3953,2011,398
3954,2011,5
3956,2011,119
3957,2011,8
3958,2011,2
3959,2011,16
3960,2011,95
3962,2011,45
3964,2011,1
3965,2011,12
3966,2011,19
3967,2011,2
3971,2011,203
3975,2011,475
3976,2011,"1,076"
3977,2011,"4,313"
3978,2011,141
3979,2011,5
3980,2011,141
3981,2011,223
3984,2011,245
3987,2011,36
3988,2011,14
3990,2011,8
3991,2011,49
3992,2011,16
3995,2011,870
3996,2011,255
3000,2012,"24,674"
3002,2012,741
3003,2012,639
3004,2012,163
3006,2012,"2,136"
3008,2012,855
3011,2012,"3,178"
3012,2012,"1,952"
3013,2012,849
3015,2012,"1,210"
3016,2012,"1,426"
3018,2012,947
3019,2012,963
3020,2012,"6,178"
3021,2012,"4,743"
3022,2012,681
3023,2012,"4,392"
3024,2012,979
3025,2012,"1,208"
3026,2012,776
3027,2012,152
3028,2012,"2,027"
3029,2012,"5,084"
3030,2012,"5,969"
3031,2012,"2,269"
3032,2012,"3,040"
3033,2012,762
3034,2012,430
3036,2012,242
3037,2012,"2,587"
3038,2012,"2,143"
3039,2012,"1,384"
3040,2012,"1,454"
3041,2012,593
3042,2012,"1,396"
3043,2012,"1,500"
3044,2012,"1,274"
3045,2012,649
3046,2012,"2,199"
3047,2012,"3,907"
3048,2012,"1,506"
3049,2012,483
3051,2012,"1,685"
3052,2012,719
3053,2012,"1,660"
3054,2012,462
3055,2012,652
3056,2012,"2,263"
3057,2012,662
3058,2012,"3,641"
3059,2012,493
3060,2012,"1,109"
3061,2012,"1,251"
3062,2012,124
3063,2012,21
3064,2012,"3,521"
3065,2012,"2,362"
3066,2012,"1,464"
3067,2012,713
3068,2012,"1,332"
3070,2012,"1,622"
3071,2012,"1,005"
3072,2012,"4,288"
3073,2012,"3,210"
3074,2012,"2,192"
3075,2012,"1,441"
3076,2012,"2,757"
3078,2012,619
3079,2012,693
3081,2012,"1,581"
3082,2012,"1,730"
3083,2012,"1,632"
3084,2012,"2,092"
3085,2012,425
3087,2012,429
3088,2012,"1,496"
3089,2012,510
3090,2012,100
3091,2012,41
3093,2012,141
3094,2012,237
3095,2012,956
3096,2012,41
3097,2012,23
3099,2012,157
3101,2012,"1,204"
3102,2012,174
3103,2012,411
3104,2012,540
3105,2012,327
3106,2012,303
3107,2012,221
3108,2012,"1,457"
3109,2012,723
3111,2012,151
3113,2012,196
3114,2012,49
3115,2012,125
3116,2012,476
3121,2012,"4,159"
3122,2012,"1,550"
3123,2012,490
3124,2012,"1,160"
3125,2012,772
3126,2012,196
3127,2012,520
3128,2012,"1,601"
3129,2012,371
3130,2012,"1,025"
3131,2012,"1,319"
3132,2012,945
3133,2012,607
3134,2012,"2,917"
3135,2012,812
3136,2012,"1,818"
3137,2012,621
3138,2012,831
3139,2012,419
3140,2012,"1,222"
3141,2012,"1,923"
3142,2012,978
3143,2012,428
3144,2012,786
3145,2012,"1,767"
3146,2012,771
3147,2012,667
3148,2012,857
3149,2012,974
3150,2012,"1,840"
3151,2012,390
3152,2012,"2,329"
3153,2012,"1,642"
3154,2012,151
3155,2012,"1,548"
3156,2012,"1,807"
3158,2012,235
3159,2012,65
3160,2012,484
3161,2012,656
3162,2012,840
3163,2012,"1,180"
3165,2012,850
3166,2012,"1,754"
3167,2012,470
3168,2012,"1,715"
3169,2012,809
3170,2012,996
3171,2012,"2,081"
3172,2012,911
3173,2012,"1,219"
3174,2012,"2,712"
3175,2012,"8,776"
3177,2012,"1,185"
3178,2012,"1,303"
3179,2012,309
3180,2012,410
3181,2012,"2,968"
3182,2012,"4,617"
3183,2012,"1,083"
3184,2012,759
3185,2012,824
3186,2012,"1,135"
3187,2012,532
3188,2012,925
3189,2012,"1,228"
3190,2012,815
3191,2012,426
3192,2012,"1,798"
3193,2012,496
3194,2012,736
3195,2012,"1,913"
3196,2012,"1,182"
3197,2012,662
3198,2012,"1,758"
3199,2012,"8,213"
3200,2012,862
3201,2012,"1,460"
3202,2012,129
3204,2012,"1,179"
3205,2012,"2,361"
3206,2012,797
3207,2012,"1,499"
3211,2012,62
3212,2012,769
3213,2012,102
3214,2012,"3,699"
3215,2012,"1,672"
3216,2012,"2,502"
3217,2012,4
3218,2012,798
3219,2012,"1,610"
3220,2012,"3,728"
3221,2012,314
3222,2012,309
3223,2012,272
3224,2012,331
3225,2012,112
3226,2012,344
3227,2012,212
3228,2012,561
3230,2012,147
3231,2012,54
3232,2012,188
3233,2012,155
3235,2012,8
3236,2012,8
3237,2012,12
3238,2012,28
3239,2012,16
3240,2012,30
3241,2012,120
3242,2012,17
3243,2012,4
3249,2012,103
3250,2012,986
3251,2012,13
3254,2012,9
3260,2012,200
3264,2012,77
3265,2012,126
3266,2012,93
3267,2012,4
3268,2012,67
3269,2012,25
3270,2012,20
3271,2012,5
3272,2012,115
3273,2012,7
3274,2012,4
3275,2012,7
3276,2012,7
3277,2012,57
3278,2012,8
3279,2012,3
3280,2012,"2,244"
3281,2012,5
3282,2012,81
3283,2012,27
3284,2012,158
3285,2012,58
3286,2012,13
3287,2012,4
3289,2012,15
3292,2012,31
3293,2012,8
3294,2012,21
3300,2012,860
3301,2012,16
3302,2012,12
3303,2012,13
3304,2012,143
3305,2012,"1,039"
3309,2012,4
3310,2012,24
3311,2012,50
3312,2012,35
3314,2012,7
3315,2012,72
3317,2012,8
3318,2012,37
3319,2012,2
3321,2012,24
3322,2012,4
3323,2012,4
3324,2012,23
3325,2012,7
3328,2012,9
3329,2012,4
3330,2012,14
3331,2012,114
3332,2012,17
3333,2012,46
3334,2012,17
3335,2012,399
3337,2012,"3,483"
3338,2012,"1,244"
3340,2012,"1,343"
3341,2012,42
3342,2012,236
3345,2012,42
3350,2012,"6,331"
3351,2012,194
3352,2012,434
3354,2012,7
3355,2012,"1,410"
3356,2012,"1,575"
3357,2012,128
3360,2012,29
3361,2012,59
3363,2012,170
3364,2012,60
3370,2012,52
3371,2012,37
3373,2012,137
3375,2012,12
3377,2012,"1,350"
3378,2012,3
3379,2012,10
3380,2012,"1,675"
3381,2012,66
3384,2012,16
3385,2012,7
3387,2012,1
3388,2012,30
3390,2012,28
3391,2012,8
3392,2012,14
3393,2012,237
3395,2012,14
3396,2012,24
3399,2012,4
3400,2012,"2,542"
3401,2012,84
3407,2012,20
3409,2012,26
3412,2012,26
3413,2012,2
3414,2012,73
3415,2012,7
3418,2012,107
3419,2012,48
3420,2012,9
3422,2012,0
3423,2012,51
3424,2012,55
3427,2012,150
3428,2012,55
3429,2012,"1,736"
3430,2012,16
3431,2012,103
3432,2012,8
3433,2012,2
3434,2012,166
3435,2012,90
3437,2012,264
3438,2012,73
3440,2012,48
3441,2012,20
3442,2012,257
3444,2012,623
3446,2012,106
3447,2012,8
3448,2012,36
3450,2012,587
3451,2012,113
3453,2012,82
3458,2012,57
3460,2012,209
3461,2012,109
3462,2012,41
3463,2012,98
3464,2012,39
3465,2012,916
3467,2012,63
3468,2012,21
3469,2012,16
3472,2012,82
3475,2012,35
3477,2012,0
3478,2012,204
3480,2012,56
3482,2012,25
3483,2012,29
3485,2012,1
3487,2012,0
3488,2012,1
3489,2012,10
3490,2012,78
3491,2012,5
3494,2012,38
3496,2012,485
3498,2012,242
3500,2012,"4,236"
3501,2012,56
3505,2012,346
3506,2012,0
3507,2012,3
3509,2012,7
3512,2012,10
3515,2012,34
3516,2012,47
3517,2012,85
3518,2012,114
3520,2012,15
3521,2012,36
3522,2012,28
3523,2012,160
3525,2012,85
3527,2012,40
3529,2012,1
3530,2012,1
3531,2012,0
3533,2012,50
3537,2012,24
3539,2012,22
3540,2012,51
3542,2012,1
3544,2012,6
3546,2012,23
3549,2012,309
3550,2012,"5,044"
3551,2012,575
3555,2012,"1,216"
3556,2012,941
3557,2012,158
3558,2012,50
3559,2012,22
3561,2012,237
3562,2012,15
3563,2012,26
3564,2012,"1,600"
3565,2012,7
3566,2012,21
3567,2012,49
3568,2012,78
3570,2012,29
3571,2012,5
3572,2012,8
3573,2012,15
3575,2012,55
3576,2012,0
3578,2012,2
3579,2012,344
3580,2012,11
3581,2012,27
3583,2012,15
3584,2012,37
3585,2012,"1,256"
3586,2012,15
3588,2012,5
3589,2012,27
3590,2012,14
3591,2012,2
3594,2012,3
3595,2012,34
3596,2012,1
3597,2012,11
3599,2012,2
3607,2012,5
3608,2012,143
3610,2012,77
3612,2012,119
3614,2012,19
3616,2012,278
3617,2012,4
3618,2012,25
3620,2012,372
3621,2012,90
3622,2012,16
3623,2012,31
3624,2012,36
3629,2012,893
3630,2012,"4,347"
3631,2012,289
3633,2012,37
3634,2012,91
3635,2012,15
3636,2012,211
3637,2012,22
3638,2012,63
3639,2012,41
3640,2012,25
3641,2012,50
3644,2012,419
3646,2012,15
3647,2012,0
3649,2012,21
3658,2012,251
3659,2012,61
3660,2012,948
3662,2012,13
3663,2012,19
3664,2012,44
3665,2012,25
3666,2012,217
3669,2012,71
3670,2012,39
3672,2012,927
3673,2012,33
3675,2012,75
3677,2012,"2,113"
3678,2012,98
3682,2012,13
3683,2012,57
3685,2012,98
3687,2012,39
3688,2012,35
3690,2012,"2,814"
3691,2012,190
3695,2012,1
3697,2012,7
3698,2012,6
3699,2012,45
3700,2012,51
