POSTCODE,Suburb,Top country of birth,total,"Born overseas, %","Born in non-English speaking country, %",Top country of birth__1,"Top country of birth, persons","Top country of birth, %",AgeRang,percent,AgeGroup,AG_percent
3166,OAKLEIGH,Greece,7984,38.7,33.1,Greece,906,6.3,rang0n4,6.2,Children,17.5
3166,OAKLEIGH EAST,China,6366,50.2,44.5,China,878,7.7,rang0n4,6,Children,15.4
3166,HUNTINGDALE,China,1884,42.8,37.6,China,246,7.2,rang0n4,7.5,Children,18.8
3167,OAKLEIGH SOUTH,Greece,9637,42.4,37.2,Greece,998,5.7,rang0n4,5.8,Children,15.5
3168,CLAYTON,China,16846,70.3,65.5,China,5214,17.8,rang0n4,4.4,Children,9.8
3168,NOTTING HILL,China,2353,56,48.9,China,444,11.4,rang0n4,5.2,Children,11.9
3169,CLAYTON SOUTH,India,12516,64.7,60.4,India,3214,14.7,rang0n4,6.1,Children,14.7
3169,CLARINDA,India,7848,54,50.1,India,1282,9,rang0n4,4.2,Children,14.2
3170,MULGRAVE,Sri Lanka,18848,44.4,39.1,Sri Lanka,1576,4.6,rang0n4,6.5,Children,16.5
3171,SPRINGVALE,Vietnam,20973,68.8,65.6,Vietnam,8414,22.4,rang0n4,6,Children,16.3
3172,SPRINGVALE SOUTH,Vietnam,12802,59.5,56.1,Vietnam,4456,19.3,rang0n4,6.5,Children,18.7
3172,DINGLEY VILLAGE,England,10675,23.5,14.2,England,1018,5.1,rang0n4,5.6,Children,17.2
3173,KEYSBOROUGH,Vietnam,21282,52.8,47.7,Vietnam,4022,10.6,rang0n4,6,Children,18.8
3174,NOBLE PARK,India,30183,60.1,54.8,India,4806,8.9,rang0n4,6.6,Children,16.9
3174,NOBLE PARK NORTH,Sri Lanka,7797,51.6,45.5,Sri Lanka,706,5,rang0n4,5.6,Children,17.5
3175,DANDENONG,India,27378,67,62.3,India,5528,12,rang0n4,8.2,Children,18.9
3175,DANDENONG NORTH,Sri Lanka,22992,52.5,46.2,Sri Lanka,2158,5.2,rang0n4,6.5,Children,18.3
3175,BANGHOLME,England,882,38.4,15.7,England,214,14.6,rang0n4,3.6,Children,7.6
3177,DOVETON,India,9007,51.4,44.2,India,984,6.3,rang0n4,7.6,Children,20.3
3177,EUMEMMERRING,England,1956,51.1,41.2,England,138,4.1,rang0n4,7.2,Children,18
3178,ROWVILLE,England,35305,31.7,24.4,England,2274,3.4,rang0n4,6.3,Children,20.9
3179,SCORESBY,India,6169,33.4,25.8,India,396,3.4,rang0n4,6.7,Children,19.6
3180,KNOXFIELD,England,7451,29.1,20,England,698,5,rang0n4,5.8,Children,17.7
3181,WINDSOR,Greece,7797,35.8,23.3,Greece,558,4.5,rang0n4,3.8,Children,7.3
3181,PRAHRAN,England,12441,33,20.4,England,990,4.9,rang0n4,4.4,Children,9.5
3182,ST KILDA,England,19728,37.4,19.2,England,2020,6.4,rang0n4,3.2,Children,6.7
3182,ST KILDA WEST,England,3116,30,14,England,342,6.6,rang0n4,3.8,Children,9.6
3183,ST KILDA EAST,England,13375,34.7,21.9,England,822,3.5,rang0n4,6.4,Children,14.9
3183,BALACLAVA,India,5758,37.9,24.5,India,496,4.9,rang0n4,5.9,Children,12.5
3184,ELWOOD,England,15830,28.6,14.5,England,1516,5.7,rang0n4,5.6,Children,12.7
3185,ELSTERNWICK,England,10290,30.9,20.4,England,698,3.9,rang0n4,7.2,Children,18.8
3185,GARDENVALE,India,1007,34.1,25,India,84,4.6,rang0n4,5.1,Children,16.1
3185,RIPPONLEA,England,1585,32.2,22.7,England,102,3.6,rang0n4,7.6,Children,16.6
